pk,sk,assigned_cohort,fee,status,accept_reject_date,amount_to_be_paid,transaction_id,payment_status,i_agree_to_terms_and_conditions_of_global_shala,modified_at,apply_date,from_where_did_you_hear_about_us,accept_reject_reason,category,not_started_date,cohort_p2,cohort_p1,relation_id,reward_awarded_date,completion_date,withdraw_reason,team_name,team_code,application_id,i_have_read_and_agreed_to_the_terms_and_conditions,team_creator,send_for_approval_mechanism_t_c,please_identify_your_student_status,i_understand_that_i_will_have_to_commit_at_least56_hours_each_w,why_do_you_want_to_apply_for_this_internship1,i_will_be_available_from79_pm_ist730930_am_cst_for_meetings_onc,from_which_medium_did_you_hear_about_the_internship,why_do_you_want_to_apply_for_this_internship,withdraw_date,created_at,external_reference_url,work_item_sk,i_understand_that_this_is_the_first_step_towards_my_application,how_did_you_hear_about_this_opportunity,can_you_share_an_experience_where_you_proactively_pursued_learn,dropped_out_date,appear_in_wishlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#8e5fadab-9195-4540-81ec-c5473143f8a9,Learner#0000000010E1R0T50GSMFEEAF9,BG83LZ2,,1110,1720163249696,0,,unpaid,,1720163280152,2024-07-05T07:07:28.998Z,Google Search,This is an auto approved opportunity,,,,BG83LZ2,,,,test,,,,TRUE,,,,,,,,testing,1720163280152,1720163248998,http://localhost:4200/projects/external?category=Internship&isFilterByEligibility=0&tab=1,WorkItem#0000000010DR0ZQN83X83C7NF0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#97d3cb92-9f45-48ed-b19e-a486c5194a7e,Learner#0000000010VM9E97B0CBPMNZ4D,B3V0FWZ,,1055,1722677607263,0,,unpaid,,1722678516396,2024-08-03T09:30:58.116Z,Social Media,Accepted by automation,,1722678516116,,B3V0FWZ,,,,,,,,TRUE,,,,,,,,Applying from cypress automation testing.,,1722677458116,,WorkItem#0000000010KA0A9RCY09X48NDJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#66616bc8-02aa-4ad8-92b5-b1881b3c81d2,Learner#000000000G1RYRMC22H9RYCYSP,,,1020,1682414444720,200,1300,unpaid,,1686729943637,2023-04-25T09:19:17.725Z,GlobalShala Website,test,,,BVDRZ08,B185711,,,,,,,,TRUE,,,,,,,,Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#e84aea65-34d3-440a-bf04-f877d3bc5ce2,Learner#00000000108S27NZ2J4JRYEAV5,BFSM7YV,,1070,1688116609107,0,,unpaid,TRUE,1688116610685,2023-06-30T09:16:37.838Z,Illinois Tech,r,,,,BFSM7YV,,,,,,,,,,,,,,,,,,1688116597838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#,Learner#0000000010Z5E2JVQBFR6WW444,,10,,,,,,,1764575548659,,,,Internship,,,,,,,,,,,,,,,,,,,,,1709644941506,,WorkItem#00000000108A4E0ASCGQ8C1FWB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#,Learner#0000000010K1H1C6M5K9BC7XXT,,0,,,,,,,1709117106217,,,,Career,,,,,,,,,,,,,,,,,,,,,1708599339052,,WorkItem#0000000010F8BMC7RB6N8X3B09,,,,,"'""question'"":'""Additional Notes'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#97d3cb92-9f45-48ed-b19e-a486c5194a7e,Learner#0000000010TT575SWEX523EP32,,,1020,1730295521656,100,,unpaid,,1730295521719,2024-10-30T13:38:41.132Z,Social Media,This is an auto approved opportunity,,,,BEG5PLI,,,,,,,,TRUE,,,,,,,,1.11111E+15,,1730295521132,,WorkItem#0000000010GY1TADZX8XBH14DX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#,Learner#000000001095JKDJBDY6BP456T,,0,,,,,,,1771845060735,,,,Internship,,,,,,,,,,,,,,,,,,,,,1771845060735,,WorkItem#000000001045ECX4MWQ1T08TEJ,,,,,"'""mapped_assignment'"":null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'rs'"":'""false'""","'""ct'"":'""1771845039686'""","'""PE'"":['""{\'""sk\'"":\'""PE#1771845039686A\'""","\'""ct\'"":\'""1771845039744\'""","\'""mt\'"":\'""1771845039744\'""}'""","'""{\'""sk\'"":\'""PE#1771845039686B\'""","\'""ct\'"":\'""1771845039744\'""","\'""mt\'"":\'""1771845039744\'""}'""","'""{\'""sk\'"":\'""PE#1771845039687A\'""","\'""ct\'"":\'""1771845039744\'""","\'""mt\'"":\'""1771845039744\'""}'""]","'""ne'"":'""Module 1'""","'""mt'"":'""1771845039686'""}","{'""rs'"":'""false'""","'""ct'"":'""1771845039688'""","'""PE'"":['""{\'""sk\'"":\'""PE#1771845039688A\'""","\'""ct\'"":\'""1771845039744\'""","\'""mt\'"":\'""1771845039744\'""}'""]","'""ne'"":'""Module2'""","'""mt'"":'""1771845039688'""}""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#2e5c613a-e7e7-4e04-a794-af9f05a06a0f,Learner#00000000109MVMYECWD3ZEA611,B1V7AXR,,1050,1696233876619,0,,unpaid,,1696233898487,2023-10-02T08:04:18.909Z,Social Media,Accepted by automation,,,,B1V7AXR,,,,,,,,TRUE,,,,,,,,Applying from cypress automation testing.,,1696233858910,,,,,,1696233898188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#a0dda5b3-9c0e-40ee-afc3-4655c16212b7,Learner#0000000010VM9E97B0CBPMNZ4D,BGYWJKH,,1070,1718828058455,0,,unpaid,,1718828060062,2024-05-24T10:52:04.070Z,Illinois Institute of Technology,TEST,,,B3V0FWZ,BGYWJKH,,,,,,,,TRUE,,,,,,,,efwefwe,,1716547924070,,WorkItem#0000000010XWKWHV984TQ90NBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#35596f45-67d4-4d3b-befe-741ba15f942a,Learner#00000000103EC3BHE94WXFMZ6N,,,1010,,0,,unpaid,,1769148999096,2026-01-23T06:16:38.376Z,Rochester Institute of Technology,,,,BBCP0FQ,BIB3IG6,,,,,,,Learning,TRUE,,,,,,,,,,1769148998376,http://localhost:4200/opportunities/Global%20Internships?category=Internship&isFilterByEligibility=0,WorkItem#00000000102D1BY5P7NZF66ZMV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#b0012672-3be3-47a2-a62c-a50742e757e3,Learner#0000000010EH64HK9HH6N7CHMK,,,1030,1713682097966,0,,unpaid,TRUE,1713682098012,2024-03-05T14:12:16.986Z,social Media,aaa,,,,BT3FX67,,,,,,,,,,,,,,,,,,1709647936986,,WorkItem#0000000010FXG0PH3BP5GK6ZEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#2e5c613a-e7e7-4e04-a794-af9f05a06a0f,Learner#0000000010CWACM55ZMCB9FBJS,,,1010,,0,,unpaid,,,2023-04-19T09:52:46.558Z,Social Media,,,,,B6B68DU,,,,,Test 1,TGKTD01,,TRUE,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#,Learner#0000000010Z5NRKA0D5PCB7858,,0,,,,,,,1742382525104,,,,Course,,,,,,,,,,,,,,,,,,,,,1742382525104,,WorkItem#0000000010ACQ9F0RHMRWT88Y2,,,,,"'""is_frozen'"":'""false'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#d2d72bdc-8740-44ca-8ec3-c6ce8c9270c4,Learner#0000000010EWXFKR86PS7T8X9G,,,1040,1716554994203,0,,unpaid,,1716554994344,2024-05-24T12:49:38.968Z,Social Media,acc,,,,BIZ7AOR,,,,,,,,TRUE,,,,,,,,aa,,1716554978968,,WorkItem#0000000010AKGVSFQMCPZK81WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#,Learner#0000000010K1NCVPTJJ8MAKNMX,,0,,,,,,,1713848046398,,,,Competition,,,,,,,,,,,,,,,,,,,,,1713848046398,,WorkItem#0000000010HC8ZFY79NKKTWP9X,,,,,"{'""code'"":'""Q73FCQ4'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#,Learner#0000000010SGQXD375G0E4KX20,,0,,,,,,,1726140183469,,,,Career,,,,,,,,,,,,,,,,,,,,,1726140183469,,WorkItem#00000000108WT849BN5G89VDG6,,,,,"{'""serial_number'"":'""0'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#a4809839-e24b-4817-ac33-05ffdbbf3abd,Learner#0000000010Z5Q4JS9Y7RWQM6MG,,,1010,,0,,unpaid,TRUE,1776327535537,2026-04-16T08:18:55.253Z,Illinois Institute of Technology,,,,,B7WEJYR,,,,,,,,,,,,,,,,,,1776327535253,,WorkItem#0000000010P9QGFE34QEATYNN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#5abc674e-6d49-478b-8800-fbe7c3eb894c,Learner#0000000010GD1CVYMQD19Z299X,,,1030,1700233229859,0,,unpaid,TRUE,1700233229866,2023-11-07T08:56:48.665Z,Illinois Institute of Technology,aa,,,,BK3VOQR,,,,,,,,,,,,,,,,,,1699347408666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#0000000010J6Z7APJ5SW73XVN8,,,1010,,0,,unpaid,,1696915251938,2023-10-10T05:20:51.938Z,Social Media,,,,,BR3QBI8,,,,,Xy,TBZ7ZDR,12345,TRUE,,automatic,,,,,,,,1696915251938,http://localhost:4200/projects/external?category=Competition&isFilterByEligibility=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#44e622dc-ad15-42e2-b511-1baeb9c340e1,Learner#0000000010CX5B3EV6SK08TEB2,B9VP75U,,1120,1692450549562,0,,unpaid,TRUE,1692451660305,2023-08-19T13:08:55.750Z,Social Media,Accepted by automation,,,,B9VP75U,,1692451659807,1692451659807,,,,,,,,,,,,,,,1692450535750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#03db4b84-a7e6-4ea9-951b-ac34ca7ae258,Learner#0000000010ZGKQRC47ZDQ016RG,BY84VB4,,1120,1776669931783,0,,unpaid,,1776853667362,2026-04-20T07:25:05.732Z,Illinois Institute of Technology,Candidate meets all requirements,,,,BY84VB4,,1776853666543,1776853666543,,,,,TRUE,,,,,,,,1234567890,,1776669905733,https://github.com/,WorkItem#0000000010N4RMSBQBN54BZGMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
